time,FluxChecker-I,FluxChecker-V,SIADensity
0,0,0,0
1e-09,0.6276727319766,0.28757192686458,0.070350123792382
3e-09,1.8830162928627,0.86271577669227,0.2110502335834
7e-09,4.3936957882284,2.0130035433146,0.49244987905054
1.5e-08,9.4150245454403,4.3135790360223,1.0552469128505
3.1e-08,19.457561495695,8.9147299081663,2.1808318653468
6.3e-08,39.542154039898,18.117031490136,4.4319655722944
1.27e-07,79.709391412811,36.521634945926,8.9340873614494
2.55e-07,160.03612287807,73.330837428219,17.937750937091
5.11e-07,320.65855018326,146.94925119762,35.942750311181
1.023e-06,641.77939293009,294.18607796962,71.943454457905
2.047e-06,1283.5252872804,588.65971923997,143.90775247723
4.095e-06,2565.0349529712,1177.6068056119,287.68883754743
8.191e-06,5120.1181811036,2355.4978492791,574.67449032599
1.6383e-05,10198.230579681,4711.2302025028,1146.5428841817
3.2767e-05,20219.987630678,9421.9101578852,2284.9327672653
6.5535e-05,39622.441336135,18831.100750631,4584.9665110921
0.000131071,74484.615304217,37470.961962886,9828.2788735878
0.000262143,119272.61862295,72633.599848837,25664.416826016
0.000524287,135825.27076092,128881.61829245,59204.507079553
0.001048575,118341.79618684,200950.56987495,79984.718897824
0.002097151,95605.785577028,285773.62893335,72994.583223339
0.004194303,73910.019085839,390952.44157329,55846.579693835
0.008388607,50597.909004398,538580.05793635,43570.412215536
0.016777215,28518.159699325,773794.37182211,42873.18762087
0.033554431,12979.530867607,1185428.0344626,55026.555096811
0.067108863,4838.7060091917,1961433.1458233,84682.635147742
0.134217727,1536.8170273057,3487139.7644689,145970.53581747
0.1879048182,844.0877715895,4705624.3932081,195261.94364464
0.2415919094,532.64653301011,5923496.1880486,244600.13958571
0.3489660918,267.46746149977,8358612.7271603,343318.32083827
0.5637144566,106.77153722903,13228637.279497,540799.65947402
0.9932111862,35.417137962886,22968031.373245,935791.884385
1.4932111862,15.875627602428,34305438.525387,1395633.3101405
1.9932111862,8.9686275552992,45642145.605901,1855474.4803569
2.4932111862,5.7549576337369,56978254.952951,2315314.7307897
2.9932111862,4.0035471454005,68313873.527215,2775156.7045767
3.4932111862,2.9451220721481,79649086.732001,3234998.5567144
3.9932111862,2.2570286370673,90983963.322925,3694840.4724468
4.4932111862,1.7846768046454,102318557.41282,4154682.4125354
4.9932111862,1.4464674453237,113652912.47315,4614524.597104
5.4932111862,1.196026795831,124987062.46062,5074366.5923018
5.9932111862,1.0054173006836,136321035.39758,5534208.5701865
6.4932111862,0.85699363341991,147654854.12667,5994050.5677609
6.9932111862,0.73916646935555,158988537.71733,6453892.5551613
7.4932111862,0.64406932989448,170322101.53506,6913734.5424749
7.9932111862,0.56621048840893,181655559.30179,7373576.5346774
8.4932111862,0.50166191741307,192988922.03928,7833418.5289511
8.9932111862,0.44755387488541,204322199.65746,8293260.5223678
9.4932111862,0.40175033169603,215655400.27639,8753102.5179407
9.9932111862,0.36263484540193,226988531.27564,9212944.51294
10.4932111862,0.32896595809875,238321598.8912,9672786.5094854
10.9932111862,0.29977745061565,249654608.64413,10132628.506233
11.4932111862,0.27430823384063,260987565.48829,10592470.503546
11.9932111862,0.2519522272205,272320473.567,11052312.501244
12.4932111862,0.2322219593607,283653336.68327,11512154.499328
12.9932111862,0.21472176560127,294986158.33775,11971996.49744
13.4932111862,0.1991277968065,306318941.49038,12431838.495582
13.9932111862,0.18517292498513,317651688.97024,12891680.493994
14.4932111862,0.17263522742139,328984403.28326,13351522.492758
14.9932111862,0.16132910738937,340317086.5795,13811364.49156
15.4932111862,0.15109838567505,351649740.92464,14271206.490477
15.9932111862,0.14181087766912,362982368.12869,14731048.489545
16.4932111862,0.13335410138646,374314969.91815,15190890.488979
16.9932111862,0.12563185621996,385647547.80261,15650732.488195
17.4932111862,0.11856147421808,396980103.19362,16110574.487375
17.9932111862,0.11207159840475,408312637.39714,16570416.486758
18.4932111862,0.10610037530423,419645151.60177,17030258.486068
18.9932111862,0.10059397552157,430977646.92901,17490100.485392
19.4932111862,0.095505376113415,442310124.35281,17949942.485032
19.9932111862,0.090793353629462,453642584.87254,18409784.48455
20.4932111862,0.086421646239276,464975029.29187,18869626.484141
20.9932111862,0.082358254077935,476307458.45328,19329468.483759
21.4932111862,0.078574851947797,487639873.11065,19789310.483395
21.9932111862,0.07504629438184,498972273.96322,20249152.483014
22.4932111862,0.071750196686127,510304661.66316,20708994.482627
22.9932111862,0.068666578967571,521637036.82711,21168836.482273
23.4932111862,0.065777562778184,532969400.01998,21628678.481939
23.9932111862,0.06306711124841,544301751.77917,22088520.48159
24.4932111862,0.060520806107322,555634092.62429,22548362.481289
24.9932111862,0.058125655537392,566966422.99336,23008204.481047
25.4932111862,0.055869928029744,578298743.37768,23468046.480725
25.9932111862,0.053743008617695,589631054.14248,23927888.480478
26.4932111862,0.051735273585562,600963355.71458,24387730.480214
26.9932111862,0.049837981537153,612295648.44833,24847572.480034
27.4932111862,0.048043178021279,623627932.71566,25307414.479909
27.9932111862,0.046343612040035,634960208.83911,25767256.479715
28.4932111862,0.044732662701339,646292477.12804,26227098.479539
28.9932111862,0.043204274621143,657624737.87991,26686940.479312
29.4932111862,0.041752900949013,668956991.36732,27146782.479152
29.9932111862,0.040373452953313,680289237.8733,27606624.479038
30.4932111862,0.039061255369044,691621477.64649,28066466.478901
30.9932111862,0.0378120067291,702953710.93211,28526308.478781
31.4932111862,0.036621744055341,714285937.9394,28986150.478632
31.9932111862,0.03548681140255,725618158.90135,29445992.478502
32.4932111862,0.034403831736762,736950374.01699,29905834.478368
32.9932111862,0.033369681800163,748282583.49227,30365676.478264
33.4932111862,0.032381469548979,759614787.49929,30825518.47815
33.9932111862,0.031436513935255,770946986.23274,31285360.478056
34.4932111862,0.030532326676927,782279179.85664,31745202.477934
34.9932111862,0.029666595877036,793611368.53577,32205044.477832
35.4932111862,0.028837171224353,804943552.42795,32664886.477724
35.9932111862,0.028042050631234,816275731.68287,33124728.477629
36.4932111862,0.027279368129843,827607906.43965,33584570.47754
36.9932111862,0.026547382931581,838940076.84603,34044412.477464
37.4932111862,0.025844469474553,850272243.02072,34504254.477374
37.9932111862,0.025169108387308,861604405.0898,34964096.477296
38.4932111862,0.024519878275415,872936563.17697,35423938.477213
38.9932111862,0.023895448238135,884268717.40371,35883780.477139
39.4932111862,0.023294571040331,895600867.87808,36343622.477087
39.9932111862,0.022716076884912,906933014.69898,36803464.477026
40.4932111862,0.022158867696458,918265157.9784,37263306.476987
40.9932111862,0.021621911935977,929597297.80679,37723148.476924
41.4932111862,0.021104239790897,940929434.28197,38182990.476844
41.9932111862,0.020604938820273,952261567.49327,38642832.476785
42.4932111862,0.020123149912121,963593697.53445,39102674.476736
42.9932111862,0.019658063598547,974925824.48735,39562516.476718
43.4932111862,0.019208916643695,986257948.43115,40022358.476664
43.9932111862,0.018774988918744,997590069.44437,40482200.47659
44.4932111862,0.018355600505069,1008922187.6065,40942042.476532
44.9932111862,0.017950109035684,1020254302.987,41401884.476463
45.4932111862,0.017557907231297,1031586415.6564,41861726.476429
45.9932111862,0.017178420627688,1042918525.6801,42321568.476398
46.4932111862,0.016811105465756,1054250633.1252,42781410.476333
46.9932111862,0.016455446745031,1065582738.057,43241252.476307
47.4932111862,0.016110956422818,1076914840.531,43701094.476282
47.9932111862,0.015777171728321,1088246940.6208,44160936.476244
48.4932111862,0.015453653618486,1099579038.3751,44620778.476205
48.9932111862,0.015139985327998,1110911133.8385,45080620.476183
49.4932111862,0.014835771023183,1122243227.0819,45540462.47616
49.9932111862,0.01454063456101,1133575318.141,46000304.476112
50.4932111862,0.01425421831919,1144907407.0744,46460146.476081
50.9932111862,0.01397618211306,1156239493.9347,46919988.476043
51.4932111862,0.013706202188615,1167571578.7641,47379830.476008
51.9932111862,0.013443970275566,1178903661.6043,47839672.475982
52.4932111862,0.013189192709961,1190235742.5049,48299514.475961
52.9932111862,0.012941589609123,1201567821.5041,48759356.475933
53.4932111862,0.012700894103553,1212899898.6479,49219198.475913
53.9932111862,0.012466851619556,1224231973.9726,49679040.475881
54.4932111862,0.012239219202219,1235564047.516,50138882.475854
54.9932111862,0.012017764887581,1246896119.3224,50598724.475826
55.4932111862,0.011802267109567,1258228189.4244,51058566.475798
55.9932111862,0.011592514146985,1269560257.8552,51518408.475767
56.4932111862,0.011388303602223,1280892324.6589,51978250.475749
56.9932111862,0.011189441914008,1292224389.8663,52438092.475733
57.4932111862,0.010995743896215,1303556453.5037,52897934.475705
57.9932111862,0.010807032309913,1314888515.6045,53357776.475677
58.4932111862,0.010623137455117,1326220576.2024,53817618.475658
58.9932111862,0.010443896789826,1337552635.3254,54277460.475638
59.4932111862,0.010269154571358,1348884693.004,54737302.475631
59.9932111862,0.010098761517461,1360216749.2669,55197144.47562
60.4932111862,0.0099325744868159,1371548804.139,55656986.475593
60.9932111862,0.009770456180393,1382880857.6509,56116828.475572
61.4932111862,0.0096122748542044,1394212909.8271,56576670.47555
61.9932111862,0.0094579040549432,1405544960.697,57036512.47553
62.4932111862,0.0093072223659245,1416877010.2776,57496354.475515
62.9932111862,0.0091601131674792,1428209058.5997,57956196.475504
63.4932111862,0.0090164644125537,1439541105.6826,58416038.475501
63.9932111862,0.0088761684124453,1450873151.5541,58875880.475475
64.4932111862,0.0087391216355072,1462205196.2329,59335722.475443
64.9932111862,0.0086052245152097,1473537239.7424,59795564.475426
65.4932111862,0.0084743812703559,1484869282.1011,60255406.475412
65.9932111862,0.0083464997327627,1496201323.3319,60715248.475399
66.4932111862,0.0082214911853892,1507533363.4534,61175090.475385
66.9932111862,0.0080992702085313,1518865402.4892,61634932.475364
67.4932111862,0.0079797545337311,1530197440.4563,62094774.475357
67.9932111862,0.0078628649049798,1541529477.3733,62554616.475346
68.4932111862,0.0077485249476765,1552861513.2576,63014458.475336
68.9932111862,0.0076366610436947,1564193548.1296,63474300.47532
69.4932111862,0.0075272022130322,1575525582.004,63934142.47531
69.9932111862,0.0074200800010071,1586857614.8983,64393984.475286
70.4932111862,0.0073152283710316,1598189646.8311,64853826.475276
70.9932111862,0.0072125836032566,1609521677.8182,65313668.47526
71.4932111862,0.0071120841971265,1620853707.8748,65773510.475253
71.9932111862,0.0070136707802075,1632185737.0166,66233352.475227
72.4932111862,0.0069172860192282,1643517765.2578,66693194.475211
72.9932111862,0.0068228745375855,1654849792.6126,67153036.475203
73.4932111862,0.0067303828354439,1666181819.1008,67612878.475206
73.9932111862,0.0066397592135207,1677513844.7329,68072720.475205
74.4932111862,0.0065509537018544,1688845869.519,68532562.475187
74.9932111862,0.006463917989317,1700177893.4764,68992404.475173
75.4932111862,0.0063786053595093,1711509916.62,69452246.475162
75.9932111862,0.0062949706272757,1722841938.9606,69912088.475157
76.4932111862,0.0062129700788288,1734173960.5091,70371930.475163
76.9932111862,0.0061325614147701,1745505981.2829,70831772.475159
77.4932111862,0.0060537036955788,1756838001.2903,71291614.475156
77.9932111862,0.0059763572891661,1768170020.5439,71751456.475143
78.4932111862,0.005900483821617,1779502039.0555,72211298.475134
78.9932111862,0.0058260461291594,1790834056.8374,72671140.475118
79.4932111862,0.0057530082126988,1802166073.9001,73130982.475122
79.9932111862,0.0056813351946765,1813498090.2534,73590824.475115
80,0.0056803712799488,1813651952.1452,73597068.038567

